pp_id,condition,ts(sec),frame,success,confidence,AU1_InnerBrowRaiser,AU2_OuterBrowRaiser,AU4_BrowLowerer,AU5_UpperLipRaiser,AU6_CheekRaiser,AU7_LidTightener,AU9_NoseWringler,AU10_UpperLipRaiser,AU12_LipCornerPuller,AU14_Dimpler,AU15_LipCornerDepressonr,AU17_ChinRaiser,AU20_LipStretcher,AU23_LipTightener,AU25_LipsPart,AU26_JawDrop,AU45_BlinkInt,AUc45_BlinkRate,AUc28_LipSuck,headOrient_x,headOrient_y,headOrient_z,gazeCenter,gazeUp,gazeDown,gazeRight,gazeLeft
pp23,N,60.127,1800.0,0.9705555555555555,0.9476111111111113,0.4522611111111111,0.07213888888888889,0.3857722222222223,0.029166666666666667,0.044538888888888885,0.06833888888888888,0.44134999999999996,0.4559833333333333,0.1967888888888889,0.7251388888888889,0.8719666666666667,0.9795777777777778,0.20809999999999998,0.3177000000000001,0.7822055555555555,0.6618555555555555,0.12717222222222224,0.28444444444444444,0.02388888888888889,77.00738888888888,44.01744444444444,459.3813333333334,0.03222222222222222,0.00056,0.27337222222222224,0.029975555555555557,0.10517611111111111
pp23,N,120.287,3600.0,1.0,0.9753111111111114,0.6105999999999999,0.2822055555555556,0.4610888888888889,0.06102777777777778,0.08137222222222222,0.17643333333333336,0.09285,0.1487888888888889,0.21888333333333335,0.7430111111111112,0.35849444444444445,0.7331500000000001,0.1434222222222222,0.05196111111111111,0.7716888888888889,0.7769555555555555,0.20888333333333334,0.27666666666666667,0.03944444444444444,54.62433333333333,21.131611111111113,485.90199999999993,0.006666666666666667,0.0013622222222222221,0.34172388888888894,0.019134444444444444,0.048568333333333345
pp23,N,180.448,5400.0,1.0,0.976527777777778,0.4945777777777778,0.4406777777777777,0.4853166666666668,0.11775,0.0344611111111111,0.04006666666666667,0.2039888888888889,0.20548333333333332,0.18200000000000002,0.5170166666666667,0.31397222222222226,0.5947444444444444,0.16818333333333335,0.016583333333333335,0.4856777777777778,0.4217722222222223,0.2423944444444444,0.365,0.006111111111111111,51.537388888888884,19.388166666666667,495.03088888888885,0.0,0.0,0.33469888888888893,0.009441666666666668,0.054384444444444444
pp23,N,240.608,7200.0,0.9961111111111111,0.9643222222222223,0.2515777777777778,0.23428888888888888,0.4272444444444444,0.19067777777777778,0.035250000000000004,0.011655555555555556,0.05696666666666667,0.003288888888888889,0.07017222222222222,0.5572722222222222,0.18052222222222222,0.4659222222222223,0.18197222222222223,0.17047222222222225,0.31815000000000004,0.34728333333333333,0.07223333333333334,0.18722222222222223,0.017222222222222222,49.77411111111111,9.93972222222222,558.5421666666666,0.021111111111111112,0.003259444444444445,0.2916088888888889,0.00897111111111111,0.06557888888888888
pp23,N,300.769,9000.0,1.0,0.9715555555555557,0.11548333333333335,0.09448333333333334,0.17538888888888893,0.14172222222222222,0.012683333333333335,0.037872222222222224,0.029,0.009377777777777777,0.06692222222222223,0.5235722222222222,0.10298333333333333,0.36138333333333333,0.15349444444444443,0.12295,0.2954055555555556,0.40556666666666663,0.16073333333333334,0.225,0.015,52.65855555555555,24.63772222222222,572.3205555555555,0.05555555555555555,0.0007627777777777778,0.26373444444444444,0.0018488888888888888,0.06389333333333334
pp23,N,360.929,10800.0,0.905,0.8839055555555557,0.16750555555555555,0.15881111111111113,0.09908888888888889,0.11895000000000001,0.06966666666666667,0.026588888888888888,0.1973722222222222,0.056100000000000004,0.126,0.5223111111111111,0.20604999999999998,0.4146166666666667,0.09956666666666666,0.019000000000000003,0.5061888888888889,0.2590055555555556,0.21886666666666668,0.1411111111111111,0.0,68.88033333333334,43.73833333333334,597.3811666666666,0.17555555555555555,0.0,0.19497444444444445,7.222222222222223e-06,0.06824444444444444
pp23,N,421.09,12600.0,0.98,0.9123111111111113,0.18577777777777776,0.2178722222222222,0.08429444444444444,0.09665000000000001,0.4091111111111111,0.16471666666666665,0.44071666666666665,0.051011111111111104,0.27136111111111105,0.25080555555555556,0.5368722222222223,1.4203277777777779,0.5179111111111111,0.12378333333333336,0.2894944444444444,0.13197777777777775,0.20106111111111113,0.2788888888888889,0.005,82.38688888888889,46.23883333333333,572.1486666666667,0.05555555555555555,0.0,0.23218666666666668,0.023976111111111108,0.027611111111111114
pp23,N,481.25,14400.0,0.8711111111111111,0.8546111111111112,0.22362222222222222,0.43177777777777776,0.034605555555555556,0.20020000000000002,0.010388888888888888,0.11316666666666667,0.3305388888888889,0.007783333333333334,0.017155555555555556,0.1902277777777778,0.15455,0.4334,0.1345,0.08549999999999999,0.32611666666666667,0.20894444444444443,0.18516666666666665,0.12,0.06333333333333334,72.93872222222222,58.78616666666667,574.4441666666667,0.14944444444444444,0.0004116666666666666,0.23265,0.014957222222222222,0.023573888888888894
pp23,N,541.41,16200.0,0.92,0.8869222222222224,0.3133666666666666,0.28201666666666664,0.14179444444444445,0.1343277777777778,0.1312111111111111,0.19504444444444444,0.29076666666666673,0.02912222222222222,0.08335555555555556,0.24698888888888887,0.5346777777777778,0.8526833333333335,0.48048333333333326,0.06098333333333334,0.33057777777777775,0.38153888888888887,0.17808333333333334,0.3416666666666667,0.10277777777777777,71.99716666666666,60.75861111111111,593.8284444444445,0.23444444444444446,0.0015216666666666668,0.21472,0.011616666666666668,0.02120777777777778
pp23,N,601.571,18000.0,1.0,0.9382722222222222,0.2059611111111111,0.15145,0.22812222222222223,0.05446111111111112,0.08426111111111112,0.10396666666666667,0.06002777777777778,0.005705555555555556,0.07681666666666666,0.9674055555555555,0.2119,0.6008277777777777,0.3522222222222222,0.2920666666666667,0.17465555555555556,0.6408666666666668,0.16030555555555556,0.2827777777777778,0.0,63.43611111111111,65.75616666666666,609.4999444444444,0.31166666666666665,0.008306111111111111,0.1768688888888889,0.03492666666666667,0.00625888888888889
