pp_id,condition,ts(sec),frame,success,confidence,AU1_InnerBrowRaiser,AU2_OuterBrowRaiser,AU4_BrowLowerer,AU5_UpperLipRaiser,AU6_CheekRaiser,AU7_LidTightener,AU9_NoseWringler,AU10_UpperLipRaiser,AU12_LipCornerPuller,AU14_Dimpler,AU15_LipCornerDepressonr,AU17_ChinRaiser,AU20_LipStretcher,AU23_LipTightener,AU25_LipsPart,AU26_JawDrop,AU45_BlinkInt,AUc45_BlinkRate,AUc28_LipSuck,headOrient_x,headOrient_y,headOrient_z,gazeCenter,gazeUp,gazeDown,gazeRight,gazeLeft
pp12,N,60.141,1800.0,1.0,0.9610555555555558,0.3892888888888889,0.16901666666666665,0.006683333333333334,0.06470555555555556,0.003605555555555555,0.00039999999999999996,0.08934444444444443,0.19245555555555555,0.09728333333333335,1.1632777777777779,0.08015,0.17615555555555557,0.12041666666666667,0.12699444444444444,0.23141666666666666,0.3563611111111111,0.20209444444444444,0.18777777777777777,0.0,170.80238888888888,-59.64849999999999,564.3478888888889,0.0,0.0,0.5442888888888889,0.15151722222222222,0.00035
pp12,N,120.316,3600.0,1.0,0.9439444444444447,0.27422777777777774,0.07242222222222224,0.01865,0.037894444444444446,0.0012222222222222224,0.0,0.1945888888888889,0.14109444444444444,0.04797777777777778,1.0833,0.17023333333333335,0.4829833333333333,0.09109444444444446,0.2891666666666667,0.22018333333333337,0.4039055555555555,0.15651111111111113,0.1272222222222222,0.0,161.6312777777778,-61.87766666666666,563.8542777777778,0.0,0.0,0.5352705555555556,0.16956944444444447,6.333333333333333e-05
pp12,N,180.49,5400.0,0.9988888888888889,0.9507166666666669,0.29798888888888886,0.05613333333333333,0.052999999999999985,0.039172222222222226,0.00601111111111111,0.0011888888888888889,0.10161666666666666,0.17823888888888892,0.054766666666666665,1.135338888888889,0.17512222222222223,0.3231388888888889,0.11068333333333334,0.18507222222222222,0.5039888888888888,0.5345444444444445,0.20597777777777776,0.16833333333333333,0.011666666666666667,170.27155555555558,-56.671,563.8213888888889,0.0011111111111111111,0.0,0.5432927777777778,0.15802833333333335,0.012567222222222223
pp12,N,240.665,7200.0,1.0,0.9633333333333335,0.09099444444444446,0.03164444444444444,0.052561111111111114,0.040872222222222226,0.008777777777777777,8.333333333333333e-05,0.028038888888888888,0.09692777777777778,0.056138888888888884,0.9609611111111112,0.029094444444444444,0.19233888888888892,0.06445555555555556,0.11413333333333334,0.4117555555555556,0.3788166666666666,0.27862222222222227,0.17666666666666667,0.0,162.90011111111107,-64.00305555555556,574.3071666666667,0.0,0.0,0.5026683333333334,0.1825016666666667,2.3888888888888892e-05
pp12,N,300.839,9000.0,1.0,0.9710833333333335,0.05239444444444445,0.008583333333333333,0.012022222222222222,0.16858333333333336,0.0,6.666666666666667e-05,0.03523888888888889,0.059444444444444446,0.012627777777777778,0.3621,0.07617222222222222,0.38067222222222225,0.013144444444444445,0.05659444444444445,0.09295000000000002,0.07017777777777778,0.06938888888888889,0.052222222222222225,0.0,138.59,-78.62494444444444,563.7647222222222,0.0,0.0,0.4945655555555556,0.17142000000000002,0.00039722222222222226
pp12,N,361.014,10800.0,1.0,0.9653888888888892,0.1487388888888889,0.04189999999999999,0.011205555555555557,0.14755000000000001,0.0006333333333333333,0.00039999999999999996,0.13945,0.15468888888888893,0.06942222222222223,0.6843055555555555,0.30823333333333336,0.43750555555555554,0.10446111111111112,0.12204444444444444,0.23281111111111108,0.21936111111111112,0.041822222222222226,0.05611111111111111,0.0,149.03327777777778,-72.75777777777778,555.8964444444445,0.0,0.0,0.5153166666666666,0.12771944444444444,0.001223888888888889
pp12,N,421.188,12600.0,1.0,0.9658055555555557,0.15738888888888888,0.03440000000000001,0.04831111111111112,0.24530555555555553,1.6666666666666667e-05,0.0,0.10475555555555555,0.03177777777777778,0.03567222222222222,0.5429333333333334,0.30702222222222225,0.3929944444444444,0.06282777777777777,0.1324111111111111,0.4022555555555556,0.2858888888888889,0.05988888888888889,0.04388888888888889,0.0,158.37900000000002,-76.12244444444444,557.4360555555555,0.0,0.0,0.5001316666666668,0.12269666666666666,7.222222222222223e-06
pp12,N,481.363,14400.0,1.0,0.9461055555555559,0.4460666666666667,0.14087777777777777,0.036616666666666665,0.0631388888888889,0.007866666666666668,0.0010277777777777778,0.26543333333333335,0.09442777777777779,0.02063888888888889,0.8636055555555555,0.23016111111111112,0.5710388888888889,0.21791666666666668,0.27090000000000003,0.3451277777777778,0.5670555555555555,0.13344444444444445,0.13055555555555556,0.0,157.7535,-61.966499999999996,559.8078888888889,0.0,0.0,0.5678422222222222,0.19762277777777779,2.3333333333333332e-05
pp12,N,541.537,16200.0,1.0,0.9422000000000001,0.7479888888888889,0.22024444444444444,0.003316666666666667,0.017766666666666663,0.06933333333333334,0.0,0.37348888888888887,0.10438888888888888,0.13867777777777776,1.448688888888889,0.24121666666666666,0.5247555555555555,0.31196666666666667,0.28233888888888886,0.4179999999999999,0.8813166666666667,0.14160555555555554,0.034444444444444444,0.010555555555555556,181.8732222222222,-49.58611111111111,559.6497777777778,0.0,0.0,0.6123861111111112,0.1626222222222222,0.0
pp12,N,601.712,18000.0,1.0,0.962027777777778,0.24208333333333334,0.09855,0.020100000000000003,0.16795000000000004,0.0008888888888888889,0.0011,0.09475555555555555,0.12511111111111112,0.054505555555555564,0.628838888888889,0.18375,0.44407777777777774,0.04993333333333333,0.14625,0.4114055555555555,0.4988777777777778,0.10974444444444445,0.04388888888888889,0.0,157.6043888888889,-72.01294444444444,556.6236666666667,0.0,0.0,0.5253300000000001,0.1887227777777778,0.0012644444444444446
pp12,N,661.886,19800.0,1.0,0.9454055555555558,0.37029999999999996,0.16147222222222224,0.019088888888888888,0.09310555555555554,0.002988888888888889,0.0009444444444444444,0.19882777777777777,0.08200555555555555,0.06582222222222223,0.8275333333333333,0.21181111111111112,0.5342,0.10072777777777778,0.3158888888888889,0.5645166666666666,0.6197277777777778,0.18419444444444444,0.11222222222222222,0.023333333333333334,156.19733333333332,-62.65427777777778,557.3492222222222,0.0,0.0,0.5497233333333333,0.17712944444444442,0.0015366666666666666
pp12,N,722.061,21600.0,1.0,0.9370555555555559,0.7415555555555556,0.28575555555555554,0.005594444444444444,0.01995,0.012566666666666667,0.0,0.3474277777777777,0.11570000000000001,0.0577,1.2425055555555558,0.2728833333333333,0.5941777777777778,0.16995,0.3103944444444445,0.5746111111111111,0.8926388888888889,0.1378888888888889,0.11833333333333333,0.0,170.2515,-50.62633333333333,551.7825,0.0,0.0,0.6159405555555555,0.16266666666666668,3.3333333333333335e-05
pp12,N,782.235,23400.0,1.0,0.9457777777777779,0.84235,0.33641666666666664,0.0105,0.030916666666666665,0.002961111111111111,0.0013722222222222222,0.2995777777777778,0.07929444444444446,0.04293333333333334,1.3312,0.22162777777777778,0.3124166666666667,0.11898333333333334,0.14425555555555553,0.5397944444444444,0.92455,0.1927333333333333,0.13666666666666666,0.0,174.65577777777779,-49.322833333333335,554.7268888888889,0.0,0.0,0.6196427777777778,0.1678677777777778,0.004156666666666667
pp12,N,842.41,25200.0,1.0,0.973305555555556,0.20705555555555552,0.0927,0.09447222222222224,0.056855555555555555,0.0014333333333333333,0.00013333333333333334,0.10093888888888888,0.09251111111111113,0.041677777777777786,0.5287333333333334,0.22366666666666668,0.2203388888888889,0.07342777777777777,0.05661666666666666,0.7023777777777778,0.5717666666666665,0.31019444444444444,0.375,0.0,152.54105555555557,-72.58338888888889,554.8966666666666,0.0,0.0,0.5314094444444445,0.2009988888888889,0.001346111111111111
pp12,N,902.584,27000.0,1.0,0.9614444444444447,0.5978666666666665,0.21973333333333334,0.057744444444444445,0.03414444444444444,0.013294444444444444,0.0015944444444444446,0.2467388888888889,0.1122888888888889,0.08475,1.0832888888888887,0.15845,0.3993333333333333,0.13388888888888892,0.21283888888888888,0.4939166666666666,0.6087666666666667,0.15881111111111113,0.17555555555555555,0.0,166.07666666666665,-58.82827777777777,554.2297777777778,0.0,0.0,0.5683205555555556,0.16970388888888888,1.6666666666666667e-05
pp12,N,962.759,28800.0,1.0,0.9615555555555558,0.48213333333333336,0.21463333333333331,0.03025555555555556,0.03851111111111111,0.0029500000000000004,0.00011666666666666667,0.14108888888888887,0.1350111111111111,0.09622777777777779,0.9926444444444446,0.15995555555555557,0.4021444444444444,0.0857888888888889,0.13441666666666668,0.35508333333333336,0.5658111111111112,0.1767777777777778,0.18888888888888888,0.0,161.95222222222222,-67.23733333333332,558.3314444444445,0.0,0.0,0.559398888888889,0.19723888888888888,1.8333333333333333e-05
pp12,N,1022.933,30600.0,1.0,0.9637500000000002,0.5963722222222222,0.19627222222222224,0.1284,0.07798333333333334,0.004427777777777778,0.0031166666666666673,0.21190555555555557,0.1673,0.05707777777777778,1.1412333333333335,0.1709388888888889,0.29583333333333334,0.10018333333333332,0.11695555555555555,0.7313555555555555,0.7711666666666667,0.21906111111111112,0.1811111111111111,0.04888888888888889,170.54461111111112,-62.5985,566.4350555555556,0.0,0.0,0.5291094444444445,0.20017444444444443,0.012104444444444445
pp12,N,1083.108,32400.0,1.0,0.9524722222222224,0.6373333333333332,0.17508888888888888,0.012683333333333333,0.012255555555555556,0.014983333333333333,0.0027944444444444444,0.19038333333333338,0.17980555555555555,0.1490111111111111,1.3864444444444441,0.16318333333333335,0.2257833333333333,0.19458333333333333,0.10722777777777777,0.5156444444444445,0.8806333333333334,0.19528888888888887,0.19333333333333333,0.0,170.79472222222222,-57.47866666666667,565.6286111111111,0.0,0.0,0.5995922222222223,0.18781611111111113,1e-05
pp12,N,1143.282,34200.0,1.0,0.9476111111111113,0.4787888888888889,0.10481666666666667,0.01987777777777778,0.0072388888888888885,0.010761111111111112,0.0013777777777777777,0.1650111111111111,0.18031666666666665,0.17473888888888886,1.388666666666667,0.14740555555555557,0.23911666666666667,0.17315,0.13098888888888888,0.4035944444444445,0.6942222222222222,0.21536666666666665,0.22555555555555556,0.0,167.62433333333337,-64.27811111111112,567.2922777777777,0.0,0.0,0.5815161111111111,0.18995888888888893,0.0
pp12,N,1203.457,36000.0,1.0,0.961777777777778,0.3083388888888889,0.11474444444444444,0.059505555555555555,0.027533333333333333,0.013411111111111111,0.0031777777777777776,0.08901666666666667,0.11848333333333333,0.11620555555555556,1.1317722222222222,0.15616111111111114,0.1973722222222222,0.09741111111111111,0.12525,0.4190111111111111,0.49282222222222216,0.19567777777777776,0.19,0.0,161.07927777777778,-71.44099999999999,565.1881666666667,0.0,0.0,0.541611111111111,0.17063833333333334,0.0014999999999999998
pp12,N,1263.631,37800.0,1.0,0.9596666666666669,0.42121111111111115,0.17944444444444443,0.01436111111111111,0.08268333333333334,0.006555555555555556,0.0006055555555555557,0.18449444444444446,0.06305000000000001,0.03719444444444445,0.9516555555555556,0.1918388888888889,0.38956111111111114,0.07952777777777778,0.2149333333333333,0.3571222222222222,0.5265555555555556,0.16187222222222222,0.03888888888888889,0.0,159.3068888888889,-65.2311111111111,556.5886111111112,0.0,0.0,0.5794794444444445,0.16711888888888887,0.002176666666666666
pp12,N,1323.806,39600.0,1.0,0.9474166666666669,0.6613777777777778,0.16797777777777778,0.00015000000000000001,0.02270555555555556,0.02656111111111111,9.999999999999999e-05,0.3460611111111111,0.13027777777777777,0.05255555555555555,1.4327055555555555,0.1726277777777778,0.33913333333333334,0.17851111111111115,0.31475000000000003,0.42232222222222227,0.42843333333333333,0.1405611111111111,0.10555555555555556,0.0,180.75866666666664,-50.38188888888889,554.524,0.0,0.0,0.6076622222222222,0.1181288888888889,0.0006233333333333334
