RR,time
812,2023-04-13 10-13-30.056000
776,2023-04-13 10-13-30.832000
734,2023-04-13 10-13-31.566000
722,2023-04-13 10-13-32.288000
714,2023-04-13 10-13-33.002000
712,2023-04-13 10-13-33.714000
744,2023-04-13 10-13-34.458000
759,2023-04-13 10-13-35.217000
769,2023-04-13 10-13-35.986000
774,2023-04-13 10-13-36.760000
766,2023-04-13 10-13-37.526000
739,2023-04-13 10-13-38.265000
746,2023-04-13 10-13-39.011000
743,2023-04-13 10-13-39.754000
717,2023-04-13 10-13-40.471000
730,2023-04-13 10-13-41.201000
747,2023-04-13 10-13-41.948000
755,2023-04-13 10-13-42.703000
777,2023-04-13 10-13-43.480000
802,2023-04-13 10-13-44.282000
817,2023-04-13 10-13-45.099000
780,2023-04-13 10-13-45.879000
721,2023-04-13 10-13-46.600000
712,2023-04-13 10-13-47.312000
721,2023-04-13 10-13-48.033000
731,2023-04-13 10-13-48.764000
732,2023-04-13 10-13-49.496000
759,2023-04-13 10-13-50.255000
799,2023-04-13 10-13-51.054000
794,2023-04-13 10-13-51.848000
812,2023-04-13 10-13-52.660000
835,2023-04-13 10-13-53.495000
819,2023-04-13 10-13-54.314000
798,2023-04-13 10-13-55.112000
769,2023-04-13 10-13-55.881000
758,2023-04-13 10-13-56.639000
726,2023-04-13 10-13-57.365000
688,2023-04-13 10-13-58.053000
672,2023-04-13 10-13-58.725000
688,2023-04-13 10-13-59.413000
730,2023-04-13 10-14-00.143000
707,2023-04-13 10-14-00.850000
662,2023-04-13 10-14-01.512000
647,2023-04-13 10-14-02.159000
646,2023-04-13 10-14-02.805000
630,2023-04-13 10-14-03.435000
635,2023-04-13 10-14-04.070000
654,2023-04-13 10-14-04.724000
677,2023-04-13 10-14-05.401000
707,2023-04-13 10-14-06.108000
712,2023-04-13 10-14-06.820000
692,2023-04-13 10-14-07.512000
706,2023-04-13 10-14-08.218000
703,2023-04-13 10-14-08.921000
709,2023-04-13 10-14-09.630000
705,2023-04-13 10-14-10.335000
688,2023-04-13 10-14-11.023000
703,2023-04-13 10-14-11.726000
714,2023-04-13 10-14-12.440000
702,2023-04-13 10-14-13.142000
688,2023-04-13 10-14-13.830000
697,2023-04-13 10-14-14.527000
732,2023-04-13 10-14-15.259000
751,2023-04-13 10-14-16.010000
756,2023-04-13 10-14-16.766000
737,2023-04-13 10-14-17.503000
762,2023-04-13 10-14-18.265000
763,2023-04-13 10-14-19.028000
749,2023-04-13 10-14-19.777000
717,2023-04-13 10-14-20.494000
727,2023-04-13 10-14-21.221000
736,2023-04-13 10-14-21.957000
761,2023-04-13 10-14-22.718000
768,2023-04-13 10-14-23.486000
789,2023-04-13 10-14-24.275000
807,2023-04-13 10-14-25.082000
789,2023-04-13 10-14-25.871000
756,2023-04-13 10-14-26.627000
763,2023-04-13 10-14-27.390000
745,2023-04-13 10-14-28.135000
713,2023-04-13 10-14-28.848000
740,2023-04-13 10-14-29.588000
760,2023-04-13 10-14-30.348000
777,2023-04-13 10-14-31.125000
741,2023-04-13 10-14-31.866000
768,2023-04-13 10-14-32.634000
789,2023-04-13 10-14-33.423000
776,2023-04-13 10-14-34.199000
742,2023-04-13 10-14-34.941000
742,2023-04-13 10-14-35.683000
731,2023-04-13 10-14-36.414000
710,2023-04-13 10-14-37.124000
703,2023-04-13 10-14-37.827000
723,2023-04-13 10-14-38.550000
735,2023-04-13 10-14-39.285000
717,2023-04-13 10-14-40.002000
700,2023-04-13 10-14-40.702000
706,2023-04-13 10-14-41.408000
708,2023-04-13 10-14-42.116000
698,2023-04-13 10-14-42.814000
661,2023-04-13 10-14-43.475000
648,2023-04-13 10-14-44.123000
661,2023-04-13 10-14-44.784000
666,2023-04-13 10-14-45.450000
697,2023-04-13 10-14-46.147000
721,2023-04-13 10-14-46.868000
692,2023-04-13 10-14-47.560000
652,2023-04-13 10-14-48.212000
639,2023-04-13 10-14-48.851000
650,2023-04-13 10-14-49.501000
670,2023-04-13 10-14-50.171000
710,2023-04-13 10-14-50.881000
740,2023-04-13 10-14-51.621000
757,2023-04-13 10-14-52.378000
758,2023-04-13 10-14-53.136000
767,2023-04-13 10-14-53.903000
754,2023-04-13 10-14-54.657000
739,2023-04-13 10-14-55.396000
720,2023-04-13 10-14-56.116000
708,2023-04-13 10-14-56.824000
693,2023-04-13 10-14-57.517000
664,2023-04-13 10-14-58.181000
650,2023-04-13 10-14-58.831000
646,2023-04-13 10-14-59.477000
651,2023-04-13 10-15-00.128000
668,2023-04-13 10-15-00.796000
688,2023-04-13 10-15-01.484000
714,2023-04-13 10-15-02.198000
734,2023-04-13 10-15-02.932000
752,2023-04-13 10-15-03.684000
760,2023-04-13 10-15-04.444000
748,2023-04-13 10-15-05.192000
714,2023-04-13 10-15-05.906000
703,2023-04-13 10-15-06.609000
693,2023-04-13 10-15-07.302000
709,2023-04-13 10-15-08.011000
727,2023-04-13 10-15-08.738000
735,2023-04-13 10-15-09.473000
769,2023-04-13 10-15-10.242000
797,2023-04-13 10-15-11.039000
801,2023-04-13 10-15-11.840000
778,2023-04-13 10-15-12.618000
792,2023-04-13 10-15-13.410000
800,2023-04-13 10-15-14.210000
791,2023-04-13 10-15-15.001000
761,2023-04-13 10-15-15.762000
750,2023-04-13 10-15-16.512000
729,2023-04-13 10-15-17.241000
692,2023-04-13 10-15-17.933000
680,2023-04-13 10-15-18.613000
677,2023-04-13 10-15-19.290000
694,2023-04-13 10-15-19.984000
749,2023-04-13 10-15-20.733000
782,2023-04-13 10-15-21.515000
792,2023-04-13 10-15-22.307000
807,2023-04-13 10-15-23.114000
794,2023-04-13 10-15-23.908000
768,2023-04-13 10-15-24.676000
768,2023-04-13 10-15-25.444000
766,2023-04-13 10-15-26.210000
757,2023-04-13 10-15-26.967000
718,2023-04-13 10-15-27.685000
727,2023-04-13 10-15-28.412000
722,2023-04-13 10-15-29.134000
755,2023-04-13 10-15-29.889000
789,2023-04-13 10-15-30.678000
791,2023-04-13 10-15-31.469000
794,2023-04-13 10-15-32.263000
751,2023-04-13 10-15-33.014000
711,2023-04-13 10-15-33.725000
696,2023-04-13 10-15-34.421000
684,2023-04-13 10-15-35.105000
686,2023-04-13 10-15-35.791000
666,2023-04-13 10-15-36.457000
655,2023-04-13 10-15-37.112000
655,2023-04-13 10-15-37.767000
664,2023-04-13 10-15-38.431000
682,2023-04-13 10-15-39.113000
719,2023-04-13 10-15-39.832000
737,2023-04-13 10-15-40.569000
747,2023-04-13 10-15-41.316000
760,2023-04-13 10-15-42.076000
778,2023-04-13 10-15-42.854000
771,2023-04-13 10-15-43.625000
731,2023-04-13 10-15-44.356000
703,2023-04-13 10-15-45.059000
667,2023-04-13 10-15-45.726000
659,2023-04-13 10-15-46.385000
651,2023-04-13 10-15-47.036000
639,2023-04-13 10-15-47.675000
631,2023-04-13 10-15-48.306000
666,2023-04-13 10-15-48.972000
715,2023-04-13 10-15-49.687000
752,2023-04-13 10-15-50.439000
752,2023-04-13 10-15-51.191000
723,2023-04-13 10-15-51.914000
733,2023-04-13 10-15-52.647000
745,2023-04-13 10-15-53.392000
753,2023-04-13 10-15-54.145000
722,2023-04-13 10-15-54.867000
687,2023-04-13 10-15-55.554000
682,2023-04-13 10-15-56.236000
714,2023-04-13 10-15-56.950000
753,2023-04-13 10-15-57.703000
799,2023-04-13 10-15-58.502000
819,2023-04-13 10-15-59.321000
804,2023-04-13 10-16-00.125000
764,2023-04-13 10-16-00.889000
768,2023-04-13 10-16-01.657000
757,2023-04-13 10-16-02.414000
732,2023-04-13 10-16-03.146000
697,2023-04-13 10-16-03.843000
679,2023-04-13 10-16-04.522000
670,2023-04-13 10-16-05.192000
691,2023-04-13 10-16-05.883000
759,2023-04-13 10-16-06.642000
771,2023-04-13 10-16-07.413000
812,2023-04-13 10-16-08.225000
