RR,time
640,2023-04-13 13-42-13.856000
641,2023-04-13 13-42-14.497000
640,2023-04-13 13-42-15.137000
627,2023-04-13 13-42-15.764000
630,2023-04-13 13-42-16.394000
656,2023-04-13 13-42-17.050000
691,2023-04-13 13-42-17.741000
749,2023-04-13 13-42-18.490000
672,2023-04-13 13-42-19.162000
663,2023-04-13 13-42-19.825000
646,2023-04-13 13-42-20.471000
642,2023-04-13 13-42-21.113000
641,2023-04-13 13-42-21.754000
649,2023-04-13 13-42-22.403000
637,2023-04-13 13-42-23.040000
615,2023-04-13 13-42-23.655000
604,2023-04-13 13-42-24.259000
625,2023-04-13 13-42-24.884000
771,2023-04-13 13-42-25.655000
841,2023-04-13 13-42-26.496000
819,2023-04-13 13-42-27.315000
771,2023-04-13 13-42-28.086000
711,2023-04-13 13-42-28.797000
677,2023-04-13 13-42-29.474000
642,2023-04-13 13-42-30.116000
625,2023-04-13 13-42-30.741000
615,2023-04-13 13-42-31.356000
603,2023-04-13 13-42-31.959000
593,2023-04-13 13-42-32.552000
597,2023-04-13 13-42-33.149000
600,2023-04-13 13-42-33.749000
598,2023-04-13 13-42-34.347000
601,2023-04-13 13-42-34.948000
594,2023-04-13 13-42-35.542000
591,2023-04-13 13-42-36.133000
590,2023-04-13 13-42-36.723000
586,2023-04-13 13-42-37.309000
577,2023-04-13 13-42-37.886000
572,2023-04-13 13-42-38.458000
578,2023-04-13 13-42-39.036000
587,2023-04-13 13-42-39.623000
604,2023-04-13 13-42-40.227000
617,2023-04-13 13-42-40.844000
622,2023-04-13 13-42-41.466000
630,2023-04-13 13-42-42.096000
630,2023-04-13 13-42-42.726000
615,2023-04-13 13-42-43.341000
598,2023-04-13 13-42-43.939000
591,2023-04-13 13-42-44.530000
594,2023-04-13 13-42-45.124000
604,2023-04-13 13-42-45.728000
610,2023-04-13 13-42-46.338000
626,2023-04-13 13-42-46.964000
643,2023-04-13 13-42-47.607000
632,2023-04-13 13-42-48.239000
638,2023-04-13 13-42-48.877000
663,2023-04-13 13-42-49.540000
644,2023-04-13 13-42-50.184000
633,2023-04-13 13-42-50.817000
618,2023-04-13 13-42-51.435000
598,2023-04-13 13-42-52.033000
600,2023-04-13 13-42-52.633000
646,2023-04-13 13-42-53.279000
718,2023-04-13 13-42-53.997000
703,2023-04-13 13-42-54.700000
