RR,time
2015,2023-04-13 13:37:28.015000
2285,2023-04-13 13:37:30.300000
765,2023-04-13 13:37:31.065000
6353,2023-04-13 13:37:37.418000
533,2023-04-13 13:37:37.951000
527,2023-04-13 13:37:38.478000
521,2023-04-13 13:37:38.999000
516,2023-04-13 13:37:39.515000
512,2023-04-13 13:37:40.027000
513,2023-04-13 13:37:40.540000
521,2023-04-13 13:37:41.061000
538,2023-04-13 13:37:41.599000
583,2023-04-13 13:37:42.182000
616,2023-04-13 13:37:42.798000
611,2023-04-13 13:37:43.409000
631,2023-04-13 13:37:44.040000
615,2023-04-13 13:37:44.655000
616,2023-04-13 13:37:45.271000
625,2023-04-13 13:37:45.896000
615,2023-04-13 13:37:46.511000
612,2023-04-13 13:37:47.123000
598,2023-04-13 13:37:47.721000
571,2023-04-13 13:37:48.292000
562,2023-04-13 13:37:48.854000
558,2023-04-13 13:37:49.412000
565,2023-04-13 13:37:49.977000
588,2023-04-13 13:37:50.565000
615,2023-04-13 13:37:51.180000
702,2023-04-13 13:37:51.882000
827,2023-04-13 13:37:52.709000
725,2023-04-13 13:37:53.434000
713,2023-04-13 13:37:54.147000
698,2023-04-13 13:37:54.845000
698,2023-04-13 13:37:55.543000
692,2023-04-13 13:37:56.235000
669,2023-04-13 13:37:56.904000
653,2023-04-13 13:37:57.557000
631,2023-04-13 13:37:58.188000
601,2023-04-13 13:37:58.789000
586,2023-04-13 13:37:59.375000
589,2023-04-13 13:37:59.964000
635,2023-04-13 13:38:00.599000
821,2023-04-13 13:38:01.420000
812,2023-04-13 13:38:02.232000
814,2023-04-13 13:38:03.046000
740,2023-04-13 13:38:03.786000
684,2023-04-13 13:38:04.470000
665,2023-04-13 13:38:05.135000
642,2023-04-13 13:38:05.777000
623,2023-04-13 13:38:06.400000
580,2023-04-13 13:38:06.980000
558,2023-04-13 13:38:07.538000
543,2023-04-13 13:38:08.081000
538,2023-04-13 13:38:08.619000
557,2023-04-13 13:38:09.176000
722,2023-04-13 13:38:09.898000
1017,2023-04-13 13:38:10.915000
896,2023-04-13 13:38:11.811000
887,2023-04-13 13:38:12.698000
839,2023-04-13 13:38:13.537000
757,2023-04-13 13:38:14.294000
672,2023-04-13 13:38:14.966000
624,2023-04-13 13:38:15.590000
599,2023-04-13 13:38:16.189000
587,2023-04-13 13:38:16.776000
580,2023-04-13 13:38:17.356000
577,2023-04-13 13:38:17.933000
571,2023-04-13 13:38:18.504000
563,2023-04-13 13:38:19.067000
563,2023-04-13 13:38:19.630000
588,2023-04-13 13:38:20.218000
678,2023-04-13 13:38:20.896000
744,2023-04-13 13:38:21.640000
730,2023-04-13 13:38:22.370000
740,2023-04-13 13:38:23.110000
714,2023-04-13 13:38:23.824000
687,2023-04-13 13:38:24.511000
633,2023-04-13 13:38:25.144000
635,2023-04-13 13:38:25.779000
645,2023-04-13 13:38:26.424000
708,2023-04-13 13:38:27.132000
766,2023-04-13 13:38:27.898000
732,2023-04-13 13:38:28.630000
726,2023-04-13 13:38:29.356000
705,2023-04-13 13:38:30.061000
682,2023-04-13 13:38:30.743000
672,2023-04-13 13:38:31.415000
655,2023-04-13 13:38:32.070000
641,2023-04-13 13:38:32.711000
632,2023-04-13 13:38:33.343000
656,2023-04-13 13:38:33.999000
689,2023-04-13 13:38:34.688000
699,2023-04-13 13:38:35.387000
740,2023-04-13 13:38:36.127000
758,2023-04-13 13:38:36.885000
758,2023-04-13 13:38:37.643000
764,2023-04-13 13:38:38.407000
729,2023-04-13 13:38:39.136000
700,2023-04-13 13:38:39.836000
675,2023-04-13 13:38:40.511000
656,2023-04-13 13:38:41.167000
635,2023-04-13 13:38:41.802000
625,2023-04-13 13:38:42.427000
623,2023-04-13 13:38:43.050000
677,2023-04-13 13:38:43.727000
766,2023-04-13 13:38:44.493000
798,2023-04-13 13:38:45.291000
805,2023-04-13 13:38:46.096000
808,2023-04-13 13:38:46.904000
775,2023-04-13 13:38:47.679000
771,2023-04-13 13:38:48.450000
727,2023-04-13 13:38:49.177000
678,2023-04-13 13:38:49.855000
664,2023-04-13 13:38:50.519000
646,2023-04-13 13:38:51.165000
651,2023-04-13 13:38:51.816000
667,2023-04-13 13:38:52.483000
689,2023-04-13 13:38:53.172000
692,2023-04-13 13:38:53.864000
694,2023-04-13 13:38:54.558000
696,2023-04-13 13:38:55.254000
691,2023-04-13 13:38:55.945000
679,2023-04-13 13:38:56.624000
665,2023-04-13 13:38:57.289000
646,2023-04-13 13:38:57.935000
622,2023-04-13 13:38:58.557000
610,2023-04-13 13:38:59.167000
587,2023-04-13 13:38:59.754000
575,2023-04-13 13:39:00.329000
567,2023-04-13 13:39:00.896000
569,2023-04-13 13:39:01.465000
577,2023-04-13 13:39:02.042000
616,2023-04-13 13:39:02.658000
662,2023-04-13 13:39:03.320000
694,2023-04-13 13:39:04.014000
720,2023-04-13 13:39:04.734000
697,2023-04-13 13:39:05.431000
688,2023-04-13 13:39:06.119000
678,2023-04-13 13:39:06.797000
656,2023-04-13 13:39:07.453000
653,2023-04-13 13:39:08.106000
648,2023-04-13 13:39:08.754000
645,2023-04-13 13:39:09.399000
637,2023-04-13 13:39:10.036000
636,2023-04-13 13:39:10.672000
625,2023-04-13 13:39:11.297000
625,2023-04-13 13:39:11.922000
620,2023-04-13 13:39:12.542000
621,2023-04-13 13:39:13.163000
641,2023-04-13 13:39:13.804000
634,2023-04-13 13:39:14.438000
632,2023-04-13 13:39:15.070000
639,2023-04-13 13:39:15.709000
638,2023-04-13 13:39:16.347000
643,2023-04-13 13:39:16.990000
648,2023-04-13 13:39:17.638000
673,2023-04-13 13:39:18.311000
645,2023-04-13 13:39:18.956000
644,2023-04-13 13:39:19.600000
641,2023-04-13 13:39:20.241000
636,2023-04-13 13:39:20.877000
646,2023-04-13 13:39:21.523000
653,2023-04-13 13:39:22.176000
638,2023-04-13 13:39:22.814000
639,2023-04-13 13:39:23.453000
668,2023-04-13 13:39:24.121000
647,2023-04-13 13:39:24.768000
646,2023-04-13 13:39:25.414000
653,2023-04-13 13:39:26.067000
684,2023-04-13 13:39:26.751000
691,2023-04-13 13:39:27.442000
682,2023-04-13 13:39:28.124000
675,2023-04-13 13:39:28.799000
675,2023-04-13 13:39:29.474000
624,2023-04-13 13:39:30.098000
606,2023-04-13 13:39:30.704000
608,2023-04-13 13:39:31.312000
626,2023-04-13 13:39:31.938000
646,2023-04-13 13:39:32.584000
678,2023-04-13 13:39:33.262000
655,2023-04-13 13:39:33.917000
686,2023-04-13 13:39:34.603000
656,2023-04-13 13:39:35.259000
658,2023-04-13 13:39:35.917000
641,2023-04-13 13:39:36.558000
640,2023-04-13 13:39:37.198000
645,2023-04-13 13:39:37.843000
643,2023-04-13 13:39:38.486000
640,2023-04-13 13:39:39.126000
642,2023-04-13 13:39:39.768000
638,2023-04-13 13:39:40.406000
628,2023-04-13 13:39:41.034000
631,2023-04-13 13:39:41.665000
627,2023-04-13 13:39:42.292000
635,2023-04-13 13:39:42.927000
642,2023-04-13 13:39:43.569000
662,2023-04-13 13:39:44.231000
666,2023-04-13 13:39:44.897000
641,2023-04-13 13:39:45.538000
670,2023-04-13 13:39:46.208000
651,2023-04-13 13:39:46.859000
632,2023-04-13 13:39:47.491000
608,2023-04-13 13:39:48.099000
595,2023-04-13 13:39:48.694000
584,2023-04-13 13:39:49.278000
585,2023-04-13 13:39:49.863000
585,2023-04-13 13:39:50.448000
575,2023-04-13 13:39:51.023000
573,2023-04-13 13:39:51.596000
569,2023-04-13 13:39:52.165000
567,2023-04-13 13:39:52.732000
568,2023-04-13 13:39:53.300000
569,2023-04-13 13:39:53.869000
567,2023-04-13 13:39:54.436000
565,2023-04-13 13:39:55.001000
562,2023-04-13 13:39:55.563000
559,2023-04-13 13:39:56.122000
566,2023-04-13 13:39:56.688000
568,2023-04-13 13:39:57.256000
573,2023-04-13 13:39:57.829000
575,2023-04-13 13:39:58.404000
578,2023-04-13 13:39:58.982000
587,2023-04-13 13:39:59.569000
597,2023-04-13 13:40:00.166000
595,2023-04-13 13:40:00.761000
600,2023-04-13 13:40:01.361000
603,2023-04-13 13:40:01.964000
603,2023-04-13 13:40:02.567000
600,2023-04-13 13:40:03.167000
602,2023-04-13 13:40:03.769000
595,2023-04-13 13:40:04.364000
587,2023-04-13 13:40:04.951000
579,2023-04-13 13:40:05.530000
582,2023-04-13 13:40:06.112000
588,2023-04-13 13:40:06.700000
599,2023-04-13 13:40:07.299000
609,2023-04-13 13:40:07.908000
605,2023-04-13 13:40:08.513000
611,2023-04-13 13:40:09.124000
623,2023-04-13 13:40:09.747000
621,2023-04-13 13:40:10.368000
608,2023-04-13 13:40:10.976000
598,2023-04-13 13:40:11.574000
590,2023-04-13 13:40:12.164000
575,2023-04-13 13:40:12.739000
567,2023-04-13 13:40:13.306000
563,2023-04-13 13:40:13.869000
563,2023-04-13 13:40:14.432000
575,2023-04-13 13:40:15.007000
597,2023-04-13 13:40:15.604000
665,2023-04-13 13:40:16.269000
701,2023-04-13 13:40:16.970000
661,2023-04-13 13:40:17.631000
646,2023-04-13 13:40:18.277000
639,2023-04-13 13:40:18.916000
634,2023-04-13 13:40:19.550000
633,2023-04-13 13:40:20.183000
634,2023-04-13 13:40:20.817000
637,2023-04-13 13:40:21.454000
637,2023-04-13 13:40:22.091000
611,2023-04-13 13:40:22.702000
590,2023-04-13 13:40:23.292000
581,2023-04-13 13:40:23.873000
575,2023-04-13 13:40:24.448000
582,2023-04-13 13:40:25.030000
597,2023-04-13 13:40:25.627000
602,2023-04-13 13:40:26.229000
602,2023-04-13 13:40:26.831000
608,2023-04-13 13:40:27.439000
604,2023-04-13 13:40:28.043000
594,2023-04-13 13:40:28.637000
586,2023-04-13 13:40:29.223000
578,2023-04-13 13:40:29.801000
574,2023-04-13 13:40:30.375000
571,2023-04-13 13:40:30.946000
572,2023-04-13 13:40:31.518000
581,2023-04-13 13:40:32.099000
583,2023-04-13 13:40:32.682000
593,2023-04-13 13:40:33.275000
620,2023-04-13 13:40:33.895000
640,2023-04-13 13:40:34.535000
646,2023-04-13 13:40:35.181000
633,2023-04-13 13:40:35.814000
636,2023-04-13 13:40:36.450000
624,2023-04-13 13:40:37.074000
608,2023-04-13 13:40:37.682000
592,2023-04-13 13:40:38.274000
584,2023-04-13 13:40:38.858000
572,2023-04-13 13:40:39.430000
563,2023-04-13 13:40:39.993000
556,2023-04-13 13:40:40.549000
554,2023-04-13 13:40:41.103000
553,2023-04-13 13:40:41.656000
558,2023-04-13 13:40:42.214000
566,2023-04-13 13:40:42.780000
595,2023-04-13 13:40:43.375000
679,2023-04-13 13:40:44.054000
773,2023-04-13 13:40:44.827000
748,2023-04-13 13:40:45.575000
726,2023-04-13 13:40:46.301000
684,2023-04-13 13:40:46.985000
656,2023-04-13 13:40:47.641000
607,2023-04-13 13:40:48.248000
585,2023-04-13 13:40:48.833000
579,2023-04-13 13:40:49.412000
558,2023-04-13 13:40:49.970000
551,2023-04-13 13:40:50.521000
548,2023-04-13 13:40:51.069000
555,2023-04-13 13:40:51.624000
569,2023-04-13 13:40:52.193000
604,2023-04-13 13:40:52.797000
652,2023-04-13 13:40:53.449000
678,2023-04-13 13:40:54.127000
685,2023-04-13 13:40:54.812000
673,2023-04-13 13:40:55.485000
655,2023-04-13 13:40:56.140000
