RR,time
786,2023-04-13 11-09-43.203000
823,2023-04-13 11-09-44.026000
838,2023-04-13 11-09-44.864000
813,2023-04-13 11-09-45.677000
800,2023-04-13 11-09-46.477000
775,2023-04-13 11-09-47.252000
782,2023-04-13 11-09-48.034000
781,2023-04-13 11-09-48.815000
773,2023-04-13 11-09-49.588000
724,2023-04-13 11-09-50.312000
704,2023-04-13 11-09-51.016000
674,2023-04-13 11-09-51.690000
677,2023-04-13 11-09-52.367000
666,2023-04-13 11-09-53.033000
689,2023-04-13 11-09-53.722000
694,2023-04-13 11-09-54.416000
720,2023-04-13 11-09-55.136000
744,2023-04-13 11-09-55.880000
728,2023-04-13 11-09-56.608000
753,2023-04-13 11-09-57.361000
825,2023-04-13 11-09-58.186000
836,2023-04-13 11-09-59.022000
773,2023-04-13 11-09-59.795000
759,2023-04-13 11-10-00.554000
718,2023-04-13 11-10-01.272000
688,2023-04-13 11-10-01.960000
669,2023-04-13 11-10-02.629000
673,2023-04-13 11-10-03.302000
705,2023-04-13 11-10-04.007000
707,2023-04-13 11-10-04.714000
716,2023-04-13 11-10-05.430000
680,2023-04-13 11-10-06.110000
679,2023-04-13 11-10-06.789000
698,2023-04-13 11-10-07.487000
707,2023-04-13 11-10-08.194000
749,2023-04-13 11-10-08.943000
711,2023-04-13 11-10-09.654000
734,2023-04-13 11-10-10.388000
715,2023-04-13 11-10-11.103000
695,2023-04-13 11-10-11.798000
679,2023-04-13 11-10-12.477000
671,2023-04-13 11-10-13.148000
686,2023-04-13 11-10-13.834000
687,2023-04-13 11-10-14.521000
731,2023-04-13 11-10-15.252000
749,2023-04-13 11-10-16.001000
744,2023-04-13 11-10-16.745000
712,2023-04-13 11-10-17.457000
741,2023-04-13 11-10-18.198000
788,2023-04-13 11-10-18.986000
847,2023-04-13 11-10-19.833000
797,2023-04-13 11-10-20.630000
772,2023-04-13 11-10-21.402000
712,2023-04-13 11-10-22.114000
691,2023-04-13 11-10-22.805000
681,2023-04-13 11-10-23.486000
697,2023-04-13 11-10-24.183000
724,2023-04-13 11-10-24.907000
752,2023-04-13 11-10-25.659000
754,2023-04-13 11-10-26.413000
740,2023-04-13 11-10-27.153000
743,2023-04-13 11-10-27.896000
769,2023-04-13 11-10-28.665000
738,2023-04-13 11-10-29.403000
716,2023-04-13 11-10-30.119000
750,2023-04-13 11-10-30.869000
821,2023-04-13 11-10-31.690000
838,2023-04-13 11-10-32.528000
813,2023-04-13 11-10-33.341000
753,2023-04-13 11-10-34.094000
841,2023-04-13 11-10-34.935000
850,2023-04-13 11-10-35.785000
854,2023-04-13 11-10-36.639000
795,2023-04-13 11-10-37.434000
962,2023-04-13 11-10-38.396000
972,2023-04-13 11-10-39.368000
856,2023-04-13 11-10-40.224000
854,2023-04-13 11-10-41.078000
813,2023-04-13 11-10-41.891000
779,2023-04-13 11-10-42.670000
740,2023-04-13 11-10-43.410000
749,2023-04-13 11-10-44.159000
811,2023-04-13 11-10-44.970000
922,2023-04-13 11-10-45.892000
861,2023-04-13 11-10-46.753000
836,2023-04-13 11-10-47.589000
787,2023-04-13 11-10-48.376000
798,2023-04-13 11-10-49.174000
742,2023-04-13 11-10-49.916000
723,2023-04-13 11-10-50.639000
735,2023-04-13 11-10-51.374000
770,2023-04-13 11-10-52.144000
899,2023-04-13 11-10-53.043000
898,2023-04-13 11-10-53.941000
943,2023-04-13 11-10-54.884000
1015,2023-04-13 11-10-55.899000
