RR,time
637,2023-04-11 16:26:52.637000
710,2023-04-11 16:26:53.347000
718,2023-04-11 16:26:54.065000
817,2023-04-11 16:26:54.882000
770,2023-04-11 16:26:55.652000
689,2023-04-11 16:26:56.341000
659,2023-04-11 16:26:57.000000
647,2023-04-11 16:26:57.647000
644,2023-04-11 16:26:58.291000
658,2023-04-11 16:26:58.949000
720,2023-04-11 16:26:59.669000
691,2023-04-11 16:27:00.360000
671,2023-04-11 16:27:01.031000
693,2023-04-11 16:27:01.724000
710,2023-04-11 16:27:02.434000
742,2023-04-11 16:27:03.176000
684,2023-04-11 16:27:03.860000
632,2023-04-11 16:27:04.492000
611,2023-04-11 16:27:05.103000
604,2023-04-11 16:27:05.707000
604,2023-04-11 16:27:06.311000
625,2023-04-11 16:27:06.936000
626,2023-04-11 16:27:07.562000
587,2023-04-11 16:27:08.149000
587,2023-04-11 16:27:08.736000
577,2023-04-11 16:27:09.313000
579,2023-04-11 16:27:09.892000
593,2023-04-11 16:27:10.485000
585,2023-04-11 16:27:11.070000
572,2023-04-11 16:27:11.642000
571,2023-04-11 16:27:12.213000
571,2023-04-11 16:27:12.784000
572,2023-04-11 16:27:13.356000
551,2023-04-11 16:27:13.907000
544,2023-04-11 16:27:14.451000
539,2023-04-11 16:27:14.990000
533,2023-04-11 16:27:15.523000
534,2023-04-11 16:27:16.057000
546,2023-04-11 16:27:16.603000
583,2023-04-11 16:27:17.186000
657,2023-04-11 16:27:17.843000
694,2023-04-11 16:27:18.537000
718,2023-04-11 16:27:19.255000
702,2023-04-11 16:27:19.957000
698,2023-04-11 16:27:20.655000
653,2023-04-11 16:27:21.308000
635,2023-04-11 16:27:21.943000
632,2023-04-11 16:27:22.575000
641,2023-04-11 16:27:23.216000
651,2023-04-11 16:27:23.867000
658,2023-04-11 16:27:24.525000
658,2023-04-11 16:27:25.183000
639,2023-04-11 16:27:25.822000
650,2023-04-11 16:27:26.472000
689,2023-04-11 16:27:27.161000
691,2023-04-11 16:27:27.852000
656,2023-04-11 16:27:28.508000
640,2023-04-11 16:27:29.148000
651,2023-04-11 16:27:29.799000
653,2023-04-11 16:27:30.452000
636,2023-04-11 16:27:31.088000
613,2023-04-11 16:27:31.701000
567,2023-04-11 16:27:32.268000
649,2023-04-11 16:27:32.917000
626,2023-04-11 16:27:33.543000
333,2023-04-11 16:27:33.876000
300,2023-04-11 16:27:34.176000
627,2023-04-11 16:27:34.803000
649,2023-04-11 16:27:35.452000
654,2023-04-11 16:27:36.106000
647,2023-04-11 16:27:36.753000
652,2023-04-11 16:27:37.405000
620,2023-04-11 16:27:38.025000
585,2023-04-11 16:27:38.610000
571,2023-04-11 16:27:39.181000
559,2023-04-11 16:27:39.740000
559,2023-04-11 16:27:40.299000
574,2023-04-11 16:27:40.873000
587,2023-04-11 16:27:41.460000
617,2023-04-11 16:27:42.077000
655,2023-04-11 16:27:42.732000
854,2023-04-11 16:27:43.586000
869,2023-04-11 16:27:44.455000
822,2023-04-11 16:27:45.277000
790,2023-04-11 16:27:46.067000
725,2023-04-11 16:27:46.792000
682,2023-04-11 16:27:47.474000
690,2023-04-11 16:27:48.164000
679,2023-04-11 16:27:48.843000
653,2023-04-11 16:27:49.496000
643,2023-04-11 16:27:50.139000
667,2023-04-11 16:27:50.806000
706,2023-04-11 16:27:51.512000
740,2023-04-11 16:27:52.252000
693,2023-04-11 16:27:52.945000
664,2023-04-11 16:27:53.609000
639,2023-04-11 16:27:54.248000
612,2023-04-11 16:27:54.860000
610,2023-04-11 16:27:55.470000
617,2023-04-11 16:27:56.087000
643,2023-04-11 16:27:56.730000
655,2023-04-11 16:27:57.385000
640,2023-04-11 16:27:58.025000
648,2023-04-11 16:27:58.673000
667,2023-04-11 16:27:59.340000
683,2023-04-11 16:28:00.023000
644,2023-04-11 16:28:00.667000
640,2023-04-11 16:28:01.307000
651,2023-04-11 16:28:01.958000
657,2023-04-11 16:28:02.615000
656,2023-04-11 16:28:03.271000
646,2023-04-11 16:28:03.917000
625,2023-04-11 16:28:04.542000
617,2023-04-11 16:28:05.159000
616,2023-04-11 16:28:05.775000
624,2023-04-11 16:28:06.399000
608,2023-04-11 16:28:07.007000
586,2023-04-11 16:28:07.593000
597,2023-04-11 16:28:08.190000
597,2023-04-11 16:28:08.787000
602,2023-04-11 16:28:09.389000
595,2023-04-11 16:28:09.984000
590,2023-04-11 16:28:10.574000
592,2023-04-11 16:28:11.166000
581,2023-04-11 16:28:11.747000
583,2023-04-11 16:28:12.330000
611,2023-04-11 16:28:12.941000
648,2023-04-11 16:28:13.589000
674,2023-04-11 16:28:14.263000
698,2023-04-11 16:28:14.961000
682,2023-04-11 16:28:15.643000
665,2023-04-11 16:28:16.308000
629,2023-04-11 16:28:16.937000
604,2023-04-11 16:28:17.541000
584,2023-04-11 16:28:18.125000
569,2023-04-11 16:28:18.694000
568,2023-04-11 16:28:19.262000
555,2023-04-11 16:28:19.817000
550,2023-04-11 16:28:20.367000
555,2023-04-11 16:28:20.922000
555,2023-04-11 16:28:21.477000
563,2023-04-11 16:28:22.040000
597,2023-04-11 16:28:22.637000
610,2023-04-11 16:28:23.247000
625,2023-04-11 16:28:23.872000
612,2023-04-11 16:28:24.484000
604,2023-04-11 16:28:25.088000
623,2023-04-11 16:28:25.711000
638,2023-04-11 16:28:26.349000
626,2023-04-11 16:28:26.975000
623,2023-04-11 16:28:27.598000
658,2023-04-11 16:28:28.256000
648,2023-04-11 16:28:28.904000
626,2023-04-11 16:28:29.530000
623,2023-04-11 16:28:30.153000
656,2023-04-11 16:28:30.809000
625,2023-04-11 16:28:31.434000
595,2023-04-11 16:28:32.029000
624,2023-04-11 16:28:32.653000
608,2023-04-11 16:28:33.261000
597,2023-04-11 16:28:33.858000
611,2023-04-11 16:28:34.469000
615,2023-04-11 16:28:35.084000
619,2023-04-11 16:28:35.703000
604,2023-04-11 16:28:36.307000
578,2023-04-11 16:28:36.885000
570,2023-04-11 16:28:37.455000
570,2023-04-11 16:28:38.025000
584,2023-04-11 16:28:38.609000
624,2023-04-11 16:28:39.233000
668,2023-04-11 16:28:39.901000
663,2023-04-11 16:28:40.564000
702,2023-04-11 16:28:41.266000
685,2023-04-11 16:28:41.951000
677,2023-04-11 16:28:42.628000
627,2023-04-11 16:28:43.255000
615,2023-04-11 16:28:43.870000
619,2023-04-11 16:28:44.489000
643,2023-04-11 16:28:45.132000
630,2023-04-11 16:28:45.762000
646,2023-04-11 16:28:46.408000
696,2023-04-11 16:28:47.104000
713,2023-04-11 16:28:47.817000
687,2023-04-11 16:28:48.504000
689,2023-04-11 16:28:49.193000
699,2023-04-11 16:28:49.892000
700,2023-04-11 16:28:50.592000
746,2023-04-11 16:28:51.338000
722,2023-04-11 16:28:52.060000
695,2023-04-11 16:28:52.755000
697,2023-04-11 16:28:53.452000
681,2023-04-11 16:28:54.133000
669,2023-04-11 16:28:54.802000
676,2023-04-11 16:28:55.478000
698,2023-04-11 16:28:56.176000
654,2023-04-11 16:28:56.830000
630,2023-04-11 16:28:57.460000
646,2023-04-11 16:28:58.106000
674,2023-04-11 16:28:58.780000
665,2023-04-11 16:28:59.445000
688,2023-04-11 16:29:00.133000
735,2023-04-11 16:29:00.868000
744,2023-04-11 16:29:01.612000
685,2023-04-11 16:29:02.297000
680,2023-04-11 16:29:02.977000
700,2023-04-11 16:29:03.677000
741,2023-04-11 16:29:04.418000
708,2023-04-11 16:29:05.126000
707,2023-04-11 16:29:05.833000
