RR,time
617,2023-04-11 13-29-06.827000
611,2023-04-11 13-29-07.438000
619,2023-04-11 13-29-08.057000
597,2023-04-11 13-29-08.654000
603,2023-04-11 13-29-09.257000
610,2023-04-11 13-29-09.867000
617,2023-04-11 13-29-10.484000
625,2023-04-11 13-29-11.109000
607,2023-04-11 13-29-11.716000
617,2023-04-11 13-29-12.333000
621,2023-04-11 13-29-12.954000
630,2023-04-11 13-29-13.584000
615,2023-04-11 13-29-14.199000
608,2023-04-11 13-29-14.807000
620,2023-04-11 13-29-15.427000
632,2023-04-11 13-29-16.059000
626,2023-04-11 13-29-16.685000
621,2023-04-11 13-29-17.306000
613,2023-04-11 13-29-17.919000
610,2023-04-11 13-29-18.529000
604,2023-04-11 13-29-19.133000
601,2023-04-11 13-29-19.734000
590,2023-04-11 13-29-20.324000
600,2023-04-11 13-29-20.924000
610,2023-04-11 13-29-21.534000
616,2023-04-11 13-29-22.150000
604,2023-04-11 13-29-22.754000
606,2023-04-11 13-29-23.360000
619,2023-04-11 13-29-23.979000
632,2023-04-11 13-29-24.611000
642,2023-04-11 13-29-25.253000
628,2023-04-11 13-29-25.881000
634,2023-04-11 13-29-26.515000
636,2023-04-11 13-29-27.151000
637,2023-04-11 13-29-27.788000
629,2023-04-11 13-29-28.417000
624,2023-04-11 13-29-29.041000
631,2023-04-11 13-29-29.672000
634,2023-04-11 13-29-30.306000
640,2023-04-11 13-29-30.946000
629,2023-04-11 13-29-31.575000
621,2023-04-11 13-29-32.196000
635,2023-04-11 13-29-32.831000
619,2023-04-11 13-29-33.450000
615,2023-04-11 13-29-34.065000
610,2023-04-11 13-29-34.675000
619,2023-04-11 13-29-35.294000
627,2023-04-11 13-29-35.921000
618,2023-04-11 13-29-36.539000
604,2023-04-11 13-29-37.143000
607,2023-04-11 13-29-37.750000
616,2023-04-11 13-29-38.366000
619,2023-04-11 13-29-38.985000
612,2023-04-11 13-29-39.597000
606,2023-04-11 13-29-40.203000
617,2023-04-11 13-29-40.820000
610,2023-04-11 13-29-41.430000
619,2023-04-11 13-29-42.049000
621,2023-04-11 13-29-42.670000
613,2023-04-11 13-29-43.283000
620,2023-04-11 13-29-43.903000
619,2023-04-11 13-29-44.522000
611,2023-04-11 13-29-45.133000
615,2023-04-11 13-29-45.748000
622,2023-04-11 13-29-46.370000
635,2023-04-11 13-29-47.005000
649,2023-04-11 13-29-47.654000
656,2023-04-11 13-29-48.310000
638,2023-04-11 13-29-48.948000
624,2023-04-11 13-29-49.572000
641,2023-04-11 13-29-50.213000
645,2023-04-11 13-29-50.858000
642,2023-04-11 13-29-51.500000
641,2023-04-11 13-29-52.141000
627,2023-04-11 13-29-52.768000
628,2023-04-11 13-29-53.396000
630,2023-04-11 13-29-54.026000
634,2023-04-11 13-29-54.660000
