pp_id,condition,ts(sec),frame,success,confidence,AU1_InnerBrowRaiser,AU2_OuterBrowRaiser,AU4_BrowLowerer,AU5_UpperLipRaiser,AU6_CheekRaiser,AU7_LidTightener,AU9_NoseWringler,AU10_UpperLipRaiser,AU12_LipCornerPuller,AU14_Dimpler,AU15_LipCornerDepressonr,AU17_ChinRaiser,AU20_LipStretcher,AU23_LipTightener,AU25_LipsPart,AU26_JawDrop,AU45_BlinkInt,AUc45_BlinkRate,AUc28_LipSuck,headOrient_x,headOrient_y,headOrient_z,gazeCenter,gazeUp,gazeDown,gazeRight,gazeLeft,index,ts,duration,Rclick,Lclick,move_dist,move_duration,move_speed,scroll_dur,keyPress,press_dur,backsp,backsp_dur,pause_dur,pause_rate
pp02,N,391.245,11700,1,0.98,0.144677778,0.061822222,0.741566667,0.110166667,0,0,0.027466667,0.4585,0.138288889,0.212722222,0.102066667,0.762033333,0.132933333,0.4743,0.615222222,0.457077778,0.084011111,0.121111111,0,-5.586333333,88.44044444,529.3797778,0.06,0,0.221435556,0.004596667,0.035415556,32,11/04/2023 08:38,,0,0,,,,,86,0.269146233,86,0.044564674,0.471314475,0.785524124
pp02,N,421.343,12600,1,0.98,0.119322222,0.034266667,0.211911111,0.036033333,0,0,0.0273,0.2125,0.196311111,0.447244444,0.115666667,0.669755556,0.064444444,0.2587,0.217466667,0.210588889,0.160944444,0.42,0,-1.253444444,90.41788889,524.498,0.037777778,0,0.281267778,0.004801111,0.062791111,33,11/04/2023 08:39,,0,0,,,,,75,0.28786136,75,0.063065267,0.437245,0.728741667
pp02,N,451.441,13500,1,0.979333333,0.150455556,0.165033333,0.125811111,0.099,0,0,0.018088889,0.046988889,0.166055556,0.495266667,0.149144444,0.404122222,0.057788889,0.1712,0.323377778,0.4186,0.345766667,0.406666667,0,-5.091111111,92.28177778,525.3942222,0.237777778,0,0.264763333,0.000906667,0.07979,34,11/04/2023 08:39,,0,0,,,,,49,0.313193327,49,0,0.597588388,0.995980647
pp02,N,481.54,14400,1,0.98,0.124333333,0.024666667,0.0448,0.034611111,0,0,0.004633333,0.101788889,0.155277778,0.376666667,0.077322222,0.454966667,0.016366667,0.173866667,0.1676,0.192477778,0.237011111,0.55,0,3.114888889,97.35777778,526.044,0.024444444,0.000195556,0.282918889,0.009215556,0.051604444,35,11/04/2023 08:40,,0,0,,,,,75,0.26292288,75,0.01706608,0.418073374,0.696788957
pp02,N,511.638,15300,1,0.974166667,0.345455556,0.116911111,0.270722222,0.075677778,0,0,0.082677778,0.077711111,0.0613,0.295988889,0.126366667,0.244733333,0.023811111,0.107377778,0.523622222,0.282644444,0.5236,0.572222222,0,1.749444444,96.53855556,524.7675556,0.042222222,0,0.296176667,0.004076667,0.066104444,36,11/04/2023 08:40,,0,0,,,,,63,0.209017492,63,0,0.428376762,0.713961269
pp02,N,541.736,16200,1,0.98,0.130466667,0.021544444,0.000444444,0.012077778,0,0,0.001933333,0.136477778,0.088877778,0.225655556,0.0476,0.286766667,0.0297,0.011155556,0.136022222,0.081522222,0.312677778,0.778888889,0,5.548777778,97.664,525.8572222,0.001111111,0,0.302652222,0.005686667,0.050156667,37,11/04/2023 08:41,0.30440725,0,4,7.175264141,0.022417129,907.5553064,,71,0.273444915,71,0.044011662,0.384328859,0.640548098
pp02,N,571.835,17100,1,0.977333333,0.2248,0.206477778,0.385877778,0.076577778,0,0,0.120133333,0.242588889,0.116077778,0.370966667,0.165588889,0.281355556,0.132466667,0.167655556,0.619977778,0.528111111,0.353011111,0.221111111,0,-3.687333333,91.13288889,536.0963333,0.264444444,0,0.229928889,0.001593333,0.066307778,38,11/04/2023 08:41,0.095085,0,1,11.12956121,0.020984876,1378.278599,,66,0.272684561,66,0.13130953,0.540239681,0.900399468
pp02,N,601.933,18000,1,0.98,0.152555556,0.040133333,0.128977778,0.039022222,0,0,0.032366667,0.198022222,0.179477778,0.316977778,0.012322222,0.333677778,0.013466667,0.1081,0.233188889,0.3758,0.126522222,0.614444444,0,-1.955555556,111.1664444,541.1566667,0.01,0,0.320775556,0.001612222,0.070321111,39,11/04/2023 08:42,0.100683,0,2,5.745059527,0.017967809,704.860622,,71,0.289810873,71,0.028169014,0.364949226,0.608248711
pp02,N,632.031,18900,1,0.9713,0.162966667,0.069388889,0.309988889,0.074055556,0.024155556,0,0.080633333,0.277633333,0.278655556,0.563966667,0.186655556,0.530577778,0.272977778,0.181744444,0.620933333,0.653211111,0.162333333,0.194444444,0,0.773555556,103.6312222,534.6541111,0.376666667,0,0.192708889,0.002413333,0.06328,40,11/04/2023 08:42,,0,0,,,,,59,0.297719119,59,0.085315797,0.560221171,0.933701952
pp02,N,662.13,19800,1,0.979944444,0.275888889,0.0887,0.043022222,0.014811111,0,0.0002,0.010666667,0.229844444,0.141177778,0.154133333,0.021444444,0.334911111,0.072977778,0.047077778,0.244744444,0.321033333,0.183411111,0.642222222,0,6.044444444,107.9575556,533.386,0.032222222,0,0.277594444,0.003203333,0.05827,41,11/04/2023 08:43,0.092441,0,2,4.746074726,0.02801128,586.3362317,,50,0.3366344,50,0.02697868,0.486925097,0.811541828
