RR,time
630,2023-04-13 13:33:54.630000
646,2023-04-13 13:33:55.276000
646,2023-04-13 13:33:55.922000
661,2023-04-13 13:33:56.583000
639,2023-04-13 13:33:57.222000
594,2023-04-13 13:33:57.816000
579,2023-04-13 13:33:58.395000
574,2023-04-13 13:33:58.969000
563,2023-04-13 13:33:59.532000
606,2023-04-13 13:34:00.138000
574,2023-04-13 13:34:00.712000
569,2023-04-13 13:34:01.281000
602,2023-04-13 13:34:01.883000
600,2023-04-13 13:34:02.483000
579,2023-04-13 13:34:03.062000
610,2023-04-13 13:34:03.672000
630,2023-04-13 13:34:04.302000
598,2023-04-13 13:34:04.900000
594,2023-04-13 13:34:05.494000
616,2023-04-13 13:34:06.110000
632,2023-04-13 13:34:06.742000
654,2023-04-13 13:34:07.396000
629,2023-04-13 13:34:08.025000
621,2023-04-13 13:34:08.646000
646,2023-04-13 13:34:09.292000
660,2023-04-13 13:34:09.952000
665,2023-04-13 13:34:10.617000
607,2023-04-13 13:34:11.224000
653,2023-04-13 13:34:11.877000
646,2023-04-13 13:34:12.523000
602,2023-04-13 13:34:13.125000
636,2023-04-13 13:34:13.761000
649,2023-04-13 13:34:14.410000
639,2023-04-13 13:34:15.049000
610,2023-04-13 13:34:15.659000
645,2023-04-13 13:34:16.304000
644,2023-04-13 13:34:16.948000
611,2023-04-13 13:34:17.559000
607,2023-04-13 13:34:18.166000
614,2023-04-13 13:34:18.780000
635,2023-04-13 13:34:19.415000
649,2023-04-13 13:34:20.064000
608,2023-04-13 13:34:20.672000
604,2023-04-13 13:34:21.276000
631,2023-04-13 13:34:21.907000
626,2023-04-13 13:34:22.533000
633,2023-04-13 13:34:23.166000
657,2023-04-13 13:34:23.823000
631,2023-04-13 13:34:24.454000
652,2023-04-13 13:34:25.106000
660,2023-04-13 13:34:25.766000
619,2023-04-13 13:34:26.385000
647,2023-04-13 13:34:27.032000
640,2023-04-13 13:34:27.672000
609,2023-04-13 13:34:28.281000
635,2023-04-13 13:34:28.916000
635,2023-04-13 13:34:29.551000
621,2023-04-13 13:34:30.172000
643,2023-04-13 13:34:30.815000
657,2023-04-13 13:34:31.472000
676,2023-04-13 13:34:32.148000
652,2023-04-13 13:34:32.800000
636,2023-04-13 13:34:33.436000
664,2023-04-13 13:34:34.100000
674,2023-04-13 13:34:34.774000
687,2023-04-13 13:34:35.461000
667,2023-04-13 13:34:36.128000
608,2023-04-13 13:34:36.736000
624,2023-04-13 13:34:37.360000
628,2023-04-13 13:34:37.988000
655,2023-04-13 13:34:38.643000
677,2023-04-13 13:34:39.320000
683,2023-04-13 13:34:40.003000
616,2023-04-13 13:34:40.619000
635,2023-04-13 13:34:41.254000
640,2023-04-13 13:34:41.894000
620,2023-04-13 13:34:42.514000
619,2023-04-13 13:34:43.133000
643,2023-04-13 13:34:43.776000
626,2023-04-13 13:34:44.402000
630,2023-04-13 13:34:45.032000
646,2023-04-13 13:34:45.678000
619,2023-04-13 13:34:46.297000
611,2023-04-13 13:34:46.908000
627,2023-04-13 13:34:47.535000
641,2023-04-13 13:34:48.176000
624,2023-04-13 13:34:48.800000
617,2023-04-13 13:34:49.417000
635,2023-04-13 13:34:50.052000
613,2023-04-13 13:34:50.665000
586,2023-04-13 13:34:51.251000
294,2023-04-13 13:34:51.545000
905,2023-04-13 13:34:52.450000
598,2023-04-13 13:34:53.048000
598,2023-04-13 13:34:53.646000
635,2023-04-13 13:34:54.281000
678,2023-04-13 13:34:54.959000
665,2023-04-13 13:34:55.624000
662,2023-04-13 13:34:56.286000
692,2023-04-13 13:34:56.978000
701,2023-04-13 13:34:57.679000
652,2023-04-13 13:34:58.331000
643,2023-04-13 13:34:58.974000
650,2023-04-13 13:34:59.624000
652,2023-04-13 13:35:00.276000
646,2023-04-13 13:35:00.922000
605,2023-04-13 13:35:01.527000
625,2023-04-13 13:35:02.152000
628,2023-04-13 13:35:02.780000
647,2023-04-13 13:35:03.427000
642,2023-04-13 13:35:04.069000
608,2023-04-13 13:35:04.677000
642,2023-04-13 13:35:05.319000
663,2023-04-13 13:35:05.982000
687,2023-04-13 13:35:06.669000
690,2023-04-13 13:35:07.359000
677,2023-04-13 13:35:08.036000
644,2023-04-13 13:35:08.680000
670,2023-04-13 13:35:09.350000
671,2023-04-13 13:35:10.021000
624,2023-04-13 13:35:10.645000
614,2023-04-13 13:35:11.259000
631,2023-04-13 13:35:11.890000
608,2023-04-13 13:35:12.498000
586,2023-04-13 13:35:13.084000
590,2023-04-13 13:35:13.674000
574,2023-04-13 13:35:14.248000
603,2023-04-13 13:35:14.851000
603,2023-04-13 13:35:15.454000
595,2023-04-13 13:35:16.049000
640,2023-04-13 13:35:16.689000
656,2023-04-13 13:35:17.345000
656,2023-04-13 13:35:18.001000
599,2023-04-13 13:35:18.600000
644,2023-04-13 13:35:19.244000
646,2023-04-13 13:35:19.890000
634,2023-04-13 13:35:20.524000
612,2023-04-13 13:35:21.136000
640,2023-04-13 13:35:21.776000
663,2023-04-13 13:35:22.439000
691,2023-04-13 13:35:23.130000
659,2023-04-13 13:35:23.789000
662,2023-04-13 13:35:24.451000
689,2023-04-13 13:35:25.140000
692,2023-04-13 13:35:25.832000
675,2023-04-13 13:35:26.507000
657,2023-04-13 13:35:27.164000
693,2023-04-13 13:35:27.857000
695,2023-04-13 13:35:28.552000
676,2023-04-13 13:35:29.228000
630,2023-04-13 13:35:29.858000
664,2023-04-13 13:35:30.522000
672,2023-04-13 13:35:31.194000
630,2023-04-13 13:35:31.824000
609,2023-04-13 13:35:32.433000
624,2023-04-13 13:35:33.057000
646,2023-04-13 13:35:33.703000
658,2023-04-13 13:35:34.361000
610,2023-04-13 13:35:34.971000
636,2023-04-13 13:35:35.607000
642,2023-04-13 13:35:36.249000
613,2023-04-13 13:35:36.862000
587,2023-04-13 13:35:37.449000
589,2023-04-13 13:35:38.038000
599,2023-04-13 13:35:38.637000
614,2023-04-13 13:35:39.251000
596,2023-04-13 13:35:39.847000
578,2023-04-13 13:35:40.425000
591,2023-04-13 13:35:41.016000
603,2023-04-13 13:35:41.619000
623,2023-04-13 13:35:42.242000
611,2023-04-13 13:35:42.853000
585,2023-04-13 13:35:43.438000
604,2023-04-13 13:35:44.042000
615,2023-04-13 13:35:44.657000
636,2023-04-13 13:35:45.293000
668,2023-04-13 13:35:45.961000
632,2023-04-13 13:35:46.593000
665,2023-04-13 13:35:47.258000
701,2023-04-13 13:35:47.959000
704,2023-04-13 13:35:48.663000
679,2023-04-13 13:35:49.342000
646,2023-04-13 13:35:49.988000
671,2023-04-13 13:35:50.659000
443,2023-04-13 13:35:51.102000
852,2023-04-13 13:35:51.954000
599,2023-04-13 13:35:52.553000
616,2023-04-13 13:35:53.169000
635,2023-04-13 13:35:53.804000
665,2023-04-13 13:35:54.469000
673,2023-04-13 13:35:55.142000
631,2023-04-13 13:35:55.773000
631,2023-04-13 13:35:56.404000
644,2023-04-13 13:35:57.048000
679,2023-04-13 13:35:57.727000
693,2023-04-13 13:35:58.420000
633,2023-04-13 13:35:59.053000
660,2023-04-13 13:35:59.713000
677,2023-04-13 13:36:00.390000
688,2023-04-13 13:36:01.078000
638,2023-04-13 13:36:01.716000
665,2023-04-13 13:36:02.381000
689,2023-04-13 13:36:03.070000
663,2023-04-13 13:36:03.733000
646,2023-04-13 13:36:04.379000
668,2023-04-13 13:36:05.047000
660,2023-04-13 13:36:05.707000
621,2023-04-13 13:36:06.328000
598,2023-04-13 13:36:06.926000
585,2023-04-13 13:36:07.511000
584,2023-04-13 13:36:08.095000
599,2023-04-13 13:36:08.694000
603,2023-04-13 13:36:09.297000
601,2023-04-13 13:36:09.898000
590,2023-04-13 13:36:10.488000
571,2023-04-13 13:36:11.059000
581,2023-04-13 13:36:11.640000
581,2023-04-13 13:36:12.221000
564,2023-04-13 13:36:12.785000
562,2023-04-13 13:36:13.347000
570,2023-04-13 13:36:13.917000
575,2023-04-13 13:36:14.492000
595,2023-04-13 13:36:15.087000
610,2023-04-13 13:36:15.697000
595,2023-04-13 13:36:16.292000
583,2023-04-13 13:36:16.875000
605,2023-04-13 13:36:17.480000
624,2023-04-13 13:36:18.104000
650,2023-04-13 13:36:18.754000
666,2023-04-13 13:36:19.420000
664,2023-04-13 13:36:20.084000
640,2023-04-13 13:36:20.724000
606,2023-04-13 13:36:21.330000
633,2023-04-13 13:36:21.963000
625,2023-04-13 13:36:22.588000
636,2023-04-13 13:36:23.224000
618,2023-04-13 13:36:23.842000
618,2023-04-13 13:36:24.460000
636,2023-04-13 13:36:25.096000
650,2023-04-13 13:36:25.746000
661,2023-04-13 13:36:26.407000
635,2023-04-13 13:36:27.042000
624,2023-04-13 13:36:27.666000
638,2023-04-13 13:36:28.304000
625,2023-04-13 13:36:28.929000
626,2023-04-13 13:36:29.555000
582,2023-04-13 13:36:30.137000
604,2023-04-13 13:36:30.741000
605,2023-04-13 13:36:31.346000
605,2023-04-13 13:36:31.951000
565,2023-04-13 13:36:32.516000
562,2023-04-13 13:36:33.078000
558,2023-04-13 13:36:33.636000
552,2023-04-13 13:36:34.188000
582,2023-04-13 13:36:34.770000
593,2023-04-13 13:36:35.363000
563,2023-04-13 13:36:35.926000
591,2023-04-13 13:36:36.517000
610,2023-04-13 13:36:37.127000
629,2023-04-13 13:36:37.756000
621,2023-04-13 13:36:38.377000
583,2023-04-13 13:36:38.960000
598,2023-04-13 13:36:39.558000
611,2023-04-13 13:36:40.169000
627,2023-04-13 13:36:40.796000
623,2023-04-13 13:36:41.419000
586,2023-04-13 13:36:42.005000
604,2023-04-13 13:36:42.609000
610,2023-04-13 13:36:43.219000
635,2023-04-13 13:36:43.854000
624,2023-04-13 13:36:44.478000
617,2023-04-13 13:36:45.095000
636,2023-04-13 13:36:45.731000
1252,2023-04-13 13:36:46.983000
600,2023-04-13 13:36:47.583000
588,2023-04-13 13:36:48.171000
603,2023-04-13 13:36:48.774000
600,2023-04-13 13:36:49.374000
585,2023-04-13 13:36:49.959000
599,2023-04-13 13:36:50.558000
606,2023-04-13 13:36:51.164000
601,2023-04-13 13:36:51.765000
588,2023-04-13 13:36:52.353000
613,2023-04-13 13:36:52.966000
627,2023-04-13 13:36:53.593000
634,2023-04-13 13:36:54.227000
609,2023-04-13 13:36:54.836000
595,2023-04-13 13:36:55.431000
620,2023-04-13 13:36:56.051000
627,2023-04-13 13:36:56.678000
639,2023-04-13 13:36:57.317000
595,2023-04-13 13:36:57.912000
619,2023-04-13 13:36:58.531000
621,2023-04-13 13:36:59.152000
603,2023-04-13 13:36:59.755000
596,2023-04-13 13:37:00.351000
620,2023-04-13 13:37:00.971000
638,2023-04-13 13:37:01.609000
620,2023-04-13 13:37:02.229000
597,2023-04-13 13:37:02.826000
626,2023-04-13 13:37:03.452000
641,2023-04-13 13:37:04.093000
612,2023-04-13 13:37:04.705000
598,2023-04-13 13:37:05.303000
617,2023-04-13 13:37:05.920000
591,2023-04-13 13:37:06.511000
592,2023-04-13 13:37:07.103000
617,2023-04-13 13:37:07.720000
646,2023-04-13 13:37:08.366000
619,2023-04-13 13:37:08.985000
631,2023-04-13 13:37:09.616000
643,2023-04-13 13:37:10.259000
682,2023-04-13 13:37:10.941000
695,2023-04-13 13:37:11.636000
631,2023-04-13 13:37:12.267000
679,2023-04-13 13:37:12.946000
742,2023-04-13 13:37:13.688000
706,2023-04-13 13:37:14.394000
693,2023-04-13 13:37:15.087000
737,2023-04-13 13:37:15.824000
702,2023-04-13 13:37:16.526000
631,2023-04-13 13:37:17.157000
614,2023-04-13 13:37:17.771000
615,2023-04-13 13:37:18.386000
606,2023-04-13 13:37:18.992000
623,2023-04-13 13:37:19.615000
607,2023-04-13 13:37:20.222000
603,2023-04-13 13:37:20.825000
619,2023-04-13 13:37:21.444000
635,2023-04-13 13:37:22.079000
659,2023-04-13 13:37:22.738000
671,2023-04-13 13:37:23.409000
682,2023-04-13 13:37:24.091000
660,2023-04-13 13:37:24.751000
617,2023-04-13 13:37:25.368000
623,2023-04-13 13:37:25.991000
625,2023-04-13 13:37:26.616000
636,2023-04-13 13:37:27.252000
643,2023-04-13 13:37:27.895000
646,2023-04-13 13:37:28.541000
628,2023-04-13 13:37:29.169000
589,2023-04-13 13:37:29.758000
600,2023-04-13 13:37:30.358000
601,2023-04-13 13:37:30.959000
619,2023-04-13 13:37:31.578000
642,2023-04-13 13:37:32.220000
663,2023-04-13 13:37:32.883000
644,2023-04-13 13:37:33.527000
632,2023-04-13 13:37:34.159000
651,2023-04-13 13:37:34.810000
668,2023-04-13 13:37:35.478000
675,2023-04-13 13:37:36.153000
673,2023-04-13 13:37:36.826000
640,2023-04-13 13:37:37.466000
622,2023-04-13 13:37:38.088000
638,2023-04-13 13:37:38.726000
655,2023-04-13 13:37:39.381000
632,2023-04-13 13:37:40.013000
612,2023-04-13 13:37:40.625000
646,2023-04-13 13:37:41.271000
646,2023-04-13 13:37:41.917000
637,2023-04-13 13:37:42.554000
603,2023-04-13 13:37:43.157000
636,2023-04-13 13:37:43.793000
639,2023-04-13 13:37:44.432000
632,2023-04-13 13:37:45.064000
599,2023-04-13 13:37:45.663000
603,2023-04-13 13:37:46.266000
607,2023-04-13 13:37:46.873000
621,2023-04-13 13:37:47.494000
617,2023-04-13 13:37:48.111000
587,2023-04-13 13:37:48.698000
598,2023-04-13 13:37:49.296000
610,2023-04-13 13:37:49.906000
631,2023-04-13 13:37:50.537000
605,2023-04-13 13:37:51.142000
599,2023-04-13 13:37:51.741000
621,2023-04-13 13:37:52.362000
636,2023-04-13 13:37:52.998000
632,2023-04-13 13:37:53.630000
586,2023-04-13 13:37:54.216000
598,2023-04-13 13:37:54.814000
614,2023-04-13 13:37:55.428000
631,2023-04-13 13:37:56.059000
626,2023-04-13 13:37:56.685000
606,2023-04-13 13:37:57.291000
635,2023-04-13 13:37:57.926000
650,2023-04-13 13:37:58.576000
634,2023-04-13 13:37:59.210000
626,2023-04-13 13:37:59.836000
618,2023-04-13 13:38:00.454000
574,2023-04-13 13:38:01.028000
585,2023-04-13 13:38:01.613000
568,2023-04-13 13:38:02.181000
568,2023-04-13 13:38:02.749000
567,2023-04-13 13:38:03.316000
575,2023-04-13 13:38:03.891000
567,2023-04-13 13:38:04.458000
560,2023-04-13 13:38:05.018000
553,2023-04-13 13:38:05.571000
543,2023-04-13 13:38:06.114000
532,2023-04-13 13:38:06.646000
541,2023-04-13 13:38:07.187000
254,2023-04-13 13:38:07.441000
360,2023-04-13 13:38:07.801000
3044,2023-04-13 13:38:10.845000
1589,2023-04-13 13:38:12.434000
1880,2023-04-13 13:38:14.314000
4681,2023-04-13 13:38:18.995000
650,2023-04-13 13:38:19.645000
476,2023-04-13 13:38:20.121000
1865,2023-04-13 13:38:21.986000
2978,2023-04-13 13:38:24.964000
2135,2023-04-13 13:38:27.099000
2465,2023-04-13 13:38:29.564000
527,2023-04-13 13:38:30.091000
1564,2023-04-13 13:38:31.655000
541,2023-04-13 13:38:32.196000
546,2023-04-13 13:38:32.742000
531,2023-04-13 13:38:33.273000
537,2023-04-13 13:38:33.810000
546,2023-04-13 13:38:34.356000
553,2023-04-13 13:38:34.909000
535,2023-04-13 13:38:35.444000
382,2023-04-13 13:38:35.826000
695,2023-04-13 13:38:36.521000
542,2023-04-13 13:38:37.063000
533,2023-04-13 13:38:37.596000
521,2023-04-13 13:38:38.117000
1044,2023-04-13 13:38:39.161000
524,2023-04-13 13:38:39.685000
517,2023-04-13 13:38:40.202000
519,2023-04-13 13:38:40.721000
524,2023-04-13 13:38:41.245000
538,2023-04-13 13:38:41.783000
532,2023-04-13 13:38:42.315000
558,2023-04-13 13:38:42.873000
587,2023-04-13 13:38:43.460000
583,2023-04-13 13:38:44.043000
559,2023-04-13 13:38:44.602000
558,2023-04-13 13:38:45.160000
572,2023-04-13 13:38:45.732000
567,2023-04-13 13:38:46.299000
544,2023-04-13 13:38:46.843000
546,2023-04-13 13:38:47.389000
547,2023-04-13 13:38:47.936000
555,2023-04-13 13:38:48.491000
558,2023-04-13 13:38:49.049000
583,2023-04-13 13:38:49.632000
557,2023-04-13 13:38:50.189000
590,2023-04-13 13:38:50.779000
558,2023-04-13 13:38:51.337000
584,2023-04-13 13:38:51.921000
563,2023-04-13 13:38:52.484000
540,2023-04-13 13:38:53.024000
542,2023-04-13 13:38:53.566000
