RR,time
774,2023-04-13 14-35-49.466000
671,2023-04-13 14-35-50.137000
677,2023-04-13 14-35-50.814000
714,2023-04-13 14-35-51.528000
701,2023-04-13 14-35-52.229000
651,2023-04-13 14-35-52.880000
670,2023-04-13 14-35-53.550000
705,2023-04-13 14-35-54.255000
732,2023-04-13 14-35-54.987000
673,2023-04-13 14-35-55.660000
702,2023-04-13 14-35-56.362000
728,2023-04-13 14-35-57.090000
787,2023-04-13 14-35-57.877000
798,2023-04-13 14-35-58.675000
717,2023-04-13 14-35-59.392000
704,2023-04-13 14-36-00.096000
753,2023-04-13 14-36-00.849000
688,2023-04-13 14-36-01.537000
663,2023-04-13 14-36-02.200000
750,2023-04-13 14-36-02.950000
801,2023-04-13 14-36-03.751000
758,2023-04-13 14-36-04.509000
706,2023-04-13 14-36-05.215000
784,2023-04-13 14-36-05.999000
829,2023-04-13 14-36-06.828000
794,2023-04-13 14-36-07.622000
680,2023-04-13 14-36-08.302000
704,2023-04-13 14-36-09.006000
734,2023-04-13 14-36-09.740000
738,2023-04-13 14-36-10.478000
679,2023-04-13 14-36-11.157000
648,2023-04-13 14-36-11.805000
646,2023-04-13 14-36-12.451000
651,2023-04-13 14-36-13.102000
680,2023-04-13 14-36-13.782000
746,2023-04-13 14-36-14.528000
761,2023-04-13 14-36-15.289000
663,2023-04-13 14-36-15.952000
728,2023-04-13 14-36-16.680000
746,2023-04-13 14-36-17.426000
788,2023-04-13 14-36-18.214000
736,2023-04-13 14-36-18.950000
663,2023-04-13 14-36-19.613000
703,2023-04-13 14-36-20.316000
764,2023-04-13 14-36-21.080000
740,2023-04-13 14-36-21.820000
677,2023-04-13 14-36-22.497000
730,2023-04-13 14-36-23.227000
818,2023-04-13 14-36-24.045000
773,2023-04-13 14-36-24.818000
694,2023-04-13 14-36-25.512000
768,2023-04-13 14-36-26.280000
812,2023-04-13 14-36-27.092000
754,2023-04-13 14-36-27.846000
679,2023-04-13 14-36-28.525000
729,2023-04-13 14-36-29.254000
765,2023-04-13 14-36-30.019000
792,2023-04-13 14-36-30.811000
732,2023-04-13 14-36-31.543000
674,2023-04-13 14-36-32.217000
727,2023-04-13 14-36-32.944000
805,2023-04-13 14-36-33.749000
778,2023-04-13 14-36-34.527000
686,2023-04-13 14-36-35.213000
762,2023-04-13 14-36-35.975000
794,2023-04-13 14-36-36.769000
775,2023-04-13 14-36-37.544000
699,2023-04-13 14-36-38.243000
752,2023-04-13 14-36-38.995000
787,2023-04-13 14-36-39.782000
741,2023-04-13 14-36-40.523000
691,2023-04-13 14-36-41.214000
736,2023-04-13 14-36-41.950000
781,2023-04-13 14-36-42.731000
756,2023-04-13 14-36-43.487000
670,2023-04-13 14-36-44.157000
710,2023-04-13 14-36-44.867000
745,2023-04-13 14-36-45.612000
759,2023-04-13 14-36-46.371000
762,2023-04-13 14-36-47.133000
668,2023-04-13 14-36-47.801000
701,2023-04-13 14-36-48.502000
731,2023-04-13 14-36-49.233000
791,2023-04-13 14-36-50.024000
722,2023-04-13 14-36-50.746000
668,2023-04-13 14-36-51.414000
705,2023-04-13 14-36-52.119000
738,2023-04-13 14-36-52.857000
767,2023-04-13 14-36-53.624000
722,2023-04-13 14-36-54.346000
668,2023-04-13 14-36-55.014000
730,2023-04-13 14-36-55.744000
757,2023-04-13 14-36-56.501000
753,2023-04-13 14-36-57.254000
686,2023-04-13 14-36-57.940000
759,2023-04-13 14-36-58.699000
791,2023-04-13 14-36-59.490000
777,2023-04-13 14-37-00.267000
692,2023-04-13 14-37-00.959000
728,2023-04-13 14-37-01.687000
765,2023-04-13 14-37-02.452000
742,2023-04-13 14-37-03.194000
678,2023-04-13 14-37-03.872000
727,2023-04-13 14-37-04.599000
761,2023-04-13 14-37-05.360000
772,2023-04-13 14-37-06.132000
744,2023-04-13 14-37-06.876000
681,2023-04-13 14-37-07.557000
756,2023-04-13 14-37-08.313000
791,2023-04-13 14-37-09.104000
762,2023-04-13 14-37-09.866000
688,2023-04-13 14-37-10.554000
744,2023-04-13 14-37-11.298000
812,2023-04-13 14-37-12.110000
813,2023-04-13 14-37-12.923000
708,2023-04-13 14-37-13.631000
742,2023-04-13 14-37-14.373000
759,2023-04-13 14-37-15.132000
691,2023-04-13 14-37-15.823000
644,2023-04-13 14-37-16.467000
651,2023-04-13 14-37-17.118000
636,2023-04-13 14-37-17.754000
691,2023-04-13 14-37-18.445000
636,2023-04-13 14-37-19.081000
619,2023-04-13 14-37-19.700000
